a, eh
choral, coral
chorale, corral
chord, cord, cored
chute, shoot
cite, sight, site
cited, sighted, sited
cites, sights, sites
clack, claque
Claus, clause, claws
clench, clinch
clew, clue
click, clique
climb, clime
close, clothes
college, collage
College, Collage
coal, cole
coaled, cold
coarse, course
coat, cote
coax, cokes
cocks, cox, Cox
coddling, codling
coffer, cougher
coin, quoin
colonel, kernel
complacence, complaisance
complacent, complaisant
complement, compliment
conch, conk
conscious, conscience
coo, coup
copes, copse
copped, copt
cops, copse
core, corps
Corps, Corp
cosign, cosine
council, counsel
craft, kraft
crater, krater
Crays, craze
Cypress, Cyprus
creak, creek
crewed, crude
crewel, cruel
crews, cruise
cue, Kew, queue
currant, current
curser, cursor
cygnet, signet
cymbal, symbol
dam, damn
dammed, damned
darn, darne
days, daze
dear, deer
deducible, deductible
desert, dessert
dew, do, due
die, dye
died, dyed
dies, dyes
diffuse, defuse
diffused, defused
dine, dyne
dire, dyer
disburse, disperse
disc, disk
discreet, discrete
discussed, disgust
doe, dough
doc, dock
does, doughs, doze, dose
done, dun
dos, dues
draft, draught
dual, duel
dying, dyeing
earl, URL
earn, urn
edition, addition
elicit, illicit
allude, elude, illude
ensure, insure
ensured, insured
emit, omit
envelop, envelope
epic, epoch
eunuchs, Unix
ewe, yew, you
ewes, use, yews
extent, extant
eyelet, islet
facts, fax
fain, feign
faint, feint
fair, fare
fairing, faring
fairy, ferry
faker, fakir
farrow, pharoah
faux, foe
fay, Faye, fey
fays, faze, phase
fazed, phased
feat, feet
feel, fell
ferrate, ferret
feted, fetid
few, phew
file, phial
fills, fils
filter, philter
find, fined, fine
finds, fines
finish, Finnish
fir, fur, furr
fisher, fissure
fission, fusion
flair, flare
flea, flee
flecks, flex
flew, flu, flue
Flo, floe, flow
flocks, phlox
floes, flows
floor, fluor
flour, flower
for, fore, four, fro
forego, forgo
foreword, forward
fort, forte
forth, fourth
foul, fowl
frees, freeze, frieze
friar, fryer
from, form
gaff, gaffe
gaffs, gaffes
gage, gauge
gait, gate
gaited, gated
galley, gally
gallop, galop
gays, gaze
gene, jean
gild, gilled, guild
gilt, guilt
gin, jinn
gnawed, nod
gneiss, nice
gnu, knew, new
gnus, news
gored, gourd
gorilla, guerrilla
grade, grayed
graft, graphed
grate, great
grays, graze
grease, Greece
greave, grieve
greaves, grieves
grill, grille
groan, grown
guessed, guest
guide, guyed
guise, guys
gunnel, gunwale
gym, Jim
hail, hale
hair, hare
hairy, Harry, harry
hall, haul
halve, half, have
halves, haves
hammock, hummock
hangar, hanger
Harold, herald
hart, heart
haut, ho, hoe
hay, hey
hays, haze
he'd, heed
he'll, heal
he'll, hill
heal, heel
hear, here
heard, herd
heigh, hi, hie, high
heroin, heroine
hew, hue, Hugh
hide, hied
higher, hire
him, hymn
hoar, whore
hoard, horde, whored
hoarse, horse
hoes, hose
hold, holed
hole, whole
holey, holy, wholly
hostel, hostile
hours, ours
humerus, humorous
hypercritical, hypocritical
idle, idol, idyl
imminent, eminent
imminently, eminently
in, inn
inc, ink
incite, insight
innocence, innocents
inns, ins
incites, insights
jam, jamb
jewel, joule
juggler, jugular
knap, nap
knead, need
knickers, nickers
knight, night
knit, nit
knits, nits
knob, nob
knock, nock
knot, naught, not
know, no, now
knows, noes, nose
lacks, lax
lain, lane
lam, lamb
laps, lapse
lay, lei
lays, laze, leis
latter, ladder
lea, lee, li
leach, leech
lead, led
leak, leek
lean, lien
leas, lees
leased, least
lends, lens
lessen, lesson
liar, lyre
liable, libel
lichen, liken
lie, lye
lieu, loo, Lou
lightening, lightning
limb, limn
limbs, limns
links, lynx
literal, littoral
lo, low
load, lode, lowed
loads, lodes
loan, lone
loch, lock
lochs, locks, lox
loon, lune
loop, loupe
loos, lose, loose
loot, lute
lumbar, lumber
mach, mock
made, maid
mail, male
main, mane
maize, maze
mall, maul, moll
manager, manger
manner, manor
mantle, mantel
marc, mark, marque
marquee, marquis
marry, merry
marshal, martial
massed, mast
Mays, maze
me, mi
mean, mein
meat, meet, mete
medal, meddle
men's, mends
metal, mettle
mewl, mule
mews, muse
might, mite
mince, mints
mind, mined
miner, minor
missal, missile
missed, mist
misses, Mrs.
moan, mown
moat, mote
mode, mowed
moire, moray
mood, mooed
moor, more
moose, mousse
moral, morel, morale
morn, mourn
morning, mourning
muscle, mussel
muscles, mussels
mussed, must
mustard, mustered
mute, moot
naval, navel
nay, neigh
nays, neighs
neap, neep
none, nun
oar, or, ore
oh, owe
ohs, owes
one, won
oohs, ooze
opposition, apposition
ordinance, ordnance
overdo, overdue
overhead, overheard
paced, paste
packed, pact
pail, pale
pain, pane
pair, pare, pear
palate, pallet, pallette
pall, Paul, pawl
passed, past
passable, possible
patience, patients
pause, paws
pea, pee
peace, piece
peak, peek, pique
peaked, peeked, piqued
peal, peel
pealed, peeled
pearl, purl, perl
pedal, peddle
peer, pier
pencil, pensil
per, purr
pursue, peruse
phrase, frays
pi, pie
picnic, pyknic
pieced, piste
pigeon, pidgin
pincer, pincher, pinscher
pistil, pistol
place, plaice
plain, plane
plait, plate
planar, planer
pleas, please
pleural, plural
plum, plumb
polar, poler
Pole, pole, poll
poled, polled
pull, pool
pone, pony
poor, pore, pour
popery, potpourri
pored, poured
portable, potable
portrait, portray
praise, prays, preys
pray, prey
precedence, precedents, presidents
preposition, proposition
presence, presents
pride, pryed
pries, prize
prince, prints
principal, principle
principals, principles
profit, prophet
pros, prose
prostrate, prostate
psi, sigh, xi
quarts, quartz
quince, quints
rabbet, rabbit
rack, wrack
racket, racquet
rain, reign, rein
raise, rays, raze
rap, wrap
rapped, rapt, wrapped
ray, re
read, red
read, rede, reed
reading, reeding
reads, reeds
real, reel
recede, reseed
reck, wreck
reek, wreak
register, registrar
resinate, resonate
resisters, resistors
rest, wrest
retch, wretch
review, revue
rheum, room
rheumy, roomie, roomy
rho, roe, row
rhumb, rum
rhyme, rime
rigger, rigor
right, rite, wright, write
righting, writing
ring, wring
ringer, wringer
rise, ryes
road, rode, rowed
roam, Rome
roil, royal
role, roll
rood, rude
roomer, rumor
root, route
rooting, routing
rose, rows
rot, wrought
rote, wrote
rough, ruff
rout, route
roux, rue
rude, rued
rye, wry
sachet, sashay
sacks, sax
sail, sale
sails, sales
sane, seine
saner, seiner
saver, savor
sawed, sod
scene, seen
scull, skull
sea, see
seal, seel
seam, seem
seamen, semen
seams, seems
sear, seer
seas, sees, seize
sects, sex
seek, Sikh
serf, surf
serge, surge
sue, sew, so, sow
sewer, sower
sewer, suer
shake, sheik
shall, shell
she'll, shill
shear, sheer
shears, sheers
sheave, shiv
shoe, shoo
shoes, shoos
sic, sick
sics, six
side, sighed
sighs, size
sign, sine
sink, synch
Sioux, sou, sough, sue
slay, sleigh
sleight, slight
slew, slough, slue
sloe, slow
soar, sore
soared, sword
solace, soulless
sole, soul
some, sum
son, sun
sonny, sunny
soot, suit
sordid, sorted
spade, spayed
spoor, spore
stable, stabile
staid, stayed
stair, stare
stake, steak
stared, starred
staring, starring
statice, status
stationary, stationery
steal, steel
step, steppe
stile, style
stoop, stoup
storey, story
straight, strait
subsided, subsidized
subside, subsidize
succor, sucker
suede, swayed
suite, sweet
sure, shore
summary, summery
sundae, Sunday
tach, tack
tacks, tax
tail, tale
tails, tales
tailer, tailor
taper, tapir
tare, tear
taught, taunt, taut
tea, tee, ti
team, teem
teaming, teeming
tear, tier
teas, tease, tees
tenner, tenor
tense, tents
tern, terne, turn
Thai, tie
threw, through
throe, throw
throes, throws
throne, thrown
thyme, time
tic, tick
ticks, tics
tide, tied
tighten, titan
timber, timbre
tire, tyer
tired, tried
toad, toed, towed
tocsin, toxin
tocsins, toxins
toe, tow
told, tolled
tole, toll
ton, Tun
tongue, tung
toon, tune
tort, torte
tough, tuff
tracked, tract
tray, trey
troop, troup
trooper, trouper
troopers, troupers
trussed, trust
vain, vane, vein
vale, veil
vary, very
verses, versus
vial, vile, viol
vice, vise
vicious, viscous
WACs, wax, whacks
wade, weighed
wail, wale, whale
wain, wane, Wayne
waist, waste
wait, weight
waive, wave
waiver, waver
Wales, wales, whales
walk, wok
walks, woks
war, wore
warn, worn
warrantee, warranty
warship, worship
wary, wherry
way, weigh, whey
ways, weighs
we, wee
we'd, weed
we'll, wheel
we've, weave
weak, week
weal, wheel
weald, wheeled, wield
weather, wether, whether
weld, welled
wen, when
wet, whet
what, watt
which, witch
whig, wig
while, wile
whiled, wild
whine, wine
whined, wind, wined
whirled, world
whirred, word
whit, wit, with
whither, wither
whoa, woe
why, wye
wondered, wandered
worst, wurst
y'all, yawl
yack, yak
yoke, yolk
yokes, yolks
