no,20294
na,11671
nb,401
nc,16358
nd,63312
ne,29545
nf,2889
ng,43590
nx,199
ny,3776
nz,44
np,143
nq,366
nr,249
ns,16100
nt,36088
nu,2657
nv,1702
nw,224
